Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
Easywalker Harvey3 Shadow Black kinderwagen + extra korting!,"€ 699,00",Nu de easywalker harvey3 shadow black kinderwagen met extra korting! Uit voorraad leverbaar zolang de voorraad strekt en aanbiedin,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1494428109-easywalker-harvey3-shadow-black-kinderwagen-extra-korting,Gisteren,Nieuw,Easywalker,Harvey3 Shadow Black,Gisteren
Kinderkraft MOOV CT Kinderwagen 3 in 1,"€ 249,99",Elders minimaal 293 euro. Maar bij ons natuurlijk niet! Mag bij ons weg voor een zacht prijsje! Kan worden opgehaald of natuurlijk,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1498327328-kinderkraft-moov-ct-kinderwagen-3-in-1,Gisteren,Nieuw,Kinderkraft,MOOV CT,Gisteren
TOT 70% KORTING OP LUXE 3-IN-1 A-MERKEN KINDERWAGENS,"€ 399,00","Welkom bij the baby store nieuwegein (utrecht) en moerkapelle (den haag, zuid-holland)! Profiteer nu van onze sensationele kinderw",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1507299418-tot-70-korting-op-luxe-3-in-1-a-merken-kinderwagens,Gisteren,Nieuw,Unknown,Unknown,Gisteren
Mutsy kinderwagen,"€ 75,00",Kinderwagen mutsy 3 in 1. Een maxicosi kan er ook opgezet worden,No link,Gisteren,Gebruikt,Mutsy,Unknown,Gisteren
Pedigree Calypso vintage kinderwagen,Bieden,Prachtige luxe kinderwagen uit 1961! In uitvoering: calypso. In goede staat. Incl origineel dekje en matrasje,No link,Gisteren,Ophalen,Pedigree,Calypso,Gisteren
Kinderwagen en reiswieg merk driver,"€ 80,00","Heerlijke kinderwagen,driewieler voren dubbele wiel. Reiswieg en kinderwagen kunnen eenvoudig andersom geplaatst worden. Stop en g",No link,Gisteren,Zo goed als nieuw,driver,Unknown,Gisteren
Joolz kinderwagen,"€ 125,00",Joolz kinderwagen gebruikt maar kan prima nog een ronde mee. Oudere variant. Met voetenzak/ regenhoes en boodschappennet rijdt hee,No link,Vandaag,Gebruikt,Joolz,Unknown,Vandaag
Bugaboo Cameleon 3 plus zwart met witte kap nieuw in doos,"€ 425,00","Bugaboo cameleon 3 plus zwart met witte kap nieuw in doos met garantie en nette factuur. Nu voor 425,- (normaal 779,-) nog nieuw i",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1509657490-bugaboo-cameleon-3-plus-zwart-met-witte-kap-nieuw-in-doos,Vandaag,Nieuw,Bugaboo,Cameleon 3 plus,Vandaag
Gratis kinderwagen,Bieden,Inclusief regenhoes. Gratis ophalen in drunen,No link,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
Kinderwagen compleet,"€ 250,00","Sleeworld kinderwagen met reiswieg, maxi cosi en luiertas",No link,Vandaag,Zo goed als nieuw,Sleeworld,kinderwagen,Vandaag
Joolz Kinderwagen,"€ 175,00","Mooie complete set van joolz, op onzin biedingen wordt niet gereageerd. Set gaat niet onder de €150 weg.",No link,Vandaag,Gebruikt,Joolz,Kinderwagen,Vandaag
Mutsy Igo combi kinderwagen,"€ 200,00","Mutsy igo combi kinderwagen. Gebruikt, maar kan zeker nog een ronde mee. Zowel als babywagen als kinderwagen te gebruiken. Gebruik",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2224005393-mutsy-igo-combi-kinderwagen,Vandaag,Gebruikt,Mutsy,Igo combi,Vandaag
Easywalker Harvey3 Shadow Black kinderwagen + extra korting!,"€ 699,00",Nu de easywalker harvey3 shadow black kinderwagen met extra korting! Uit voorraad leverbaar zolang de voorraad strekt en aanbiedin,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1494428109-easywalker-harvey3-shadow-black-kinderwagen-extra-korting,Vandaag,Nieuw,Easywalker,Harvey3 Shadow Black,Vandaag
Kinderwagen + maxi cosi | 3 in 1 | Nog in goede staat.,"€ 80,00",Kinderwagen 3 in 1. Nog in goede staat. 1. Lig stand 2. Zitstand 3. Maxi cosi ook voor in de auto. De kinderwagen is fijn en licht,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223882914-kinderwagen-maxi-cosi-3-in-1-nog-in-goede-staat,Vandaag,Gebruikt,Unknown,Kinderwagen 3 in 1,Vandaag
Kinderwagen,"€ 25,00",Heel weinig gebruikt,No link,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Kinderkraft kinderwagen,"€ 175,00","Mooie kinderkraft kinderwagen, minimale gebruikssporen. 1,5 Jaar gebruikt, gaat weg wegens aanschaf duowagen.  - Handvat is verste",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223874938-kinderkraft-kinderwagen,Vandaag,Gebruikt,Kinderkraft,Unknown,Vandaag
Kinderkraft kinderwagen 3 in 1,"€ 85,00",3 in 1 kinderwagen van het merk kinderkraft. Ziet er nog goed uit. Bekleding moet alleen nog gewassen worden door vocht in berging,No link,Gisteren,Zo goed als nieuw,Kinderkraft,3 in 1,Gisteren
Bugaboo Fox 5 forest green nieuw in doos,"€ 985,00","Bugaboo fox 5 forest green nieuw in doos nieuwe fox 5 wagen compleet met reiswieg, buggy zitting en regenscherm. Nu voor 985,- (no",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1509602065-bugaboo-fox-5-forest-green-nieuw-in-doos,Gisteren,Nieuw,Bugaboo,Fox 5,Gisteren
Joolz lichtgrijze kinderwagen,"€ 35,00",Gebruikte kinderwagen van joolz. Met passend voetensteuntje voor een ouder kindje. Ook een bijpassend zonnenscherm voor de wieg. D,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223930580-joolz-lichtgrijze-kinderwagen,Vandaag,Gebruikt,Joolz,Unknown,Vandaag
Nuna kinderwagen,"€ 275,00",Nuna kinderwagen met reis wieg zietje voetenzak loopplank 2x regenhoes 1x muggen net nette kinderwagen de conditie is gebruikt net,No link,Vandaag,Zo goed als nieuw,Nuna,Unknown,Vandaag
chicco urban kinderwagen,"€ 40,00",Gebruikte kinderwagen van het merk chicco ik verkoop dit omdat deze in de weg staat,No link,Vandaag,Gebruikt,chicco,urban,Vandaag
Kinderwagen,"€ 20,00","Prima kinderwagen, wat je op de foto's ziet is wat het is, kan direct opgehaald worden.",No link,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
Bugaboo Fox 5 zwart nieuw in doos,"€ 985,00","Bugaboo fox 5 all black zwart nieuw in doos nieuwe fox 5 wagen compleet met reiswieg, buggy zitting en regenscherm. Nu voor 985,-",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1509602047-bugaboo-fox-5-zwart-nieuw-in-doos,Vandaag,Nieuw,Bugaboo,Fox 5,Vandaag
Nette Nuna kinderwagen,"€ 85,00",Te koop wegens niet meer nodig nette nuna kinderwagen compleet. Kleur grijs.,No link,Gisteren,Gebruikt,Nuna,kinderwagen,Gisteren
Joolz Day 2 kinderwagen + accessoires,"€ 200,00","Joolz day 2 kinderwagen met muskietennet, regenhoes en comfort cover",No link,Gisteren,Zo goed als nieuw,Joolz,Day 2,Gisteren
Style combi kinderwagen (mustaerts) zwart,"€ 120,00",Deze combi kinderwagen is nog super gaaf. Voor 1 kindje gebruikt en nog helemaal compleet.,No link,Eergisteren,Zo goed als nieuw,Mustaerts,Style Combi Kinderwagen,Eergisteren
Joolz kinderwagen,Bieden,"Mooie joolz kinderwagen. Altijd zuinig op geweest. Bieden vanaf 200,00",No link,Eergisteren,Zo goed als nieuw,Joolz,Unknown,Eergisteren
Mutsy Nio North Black kinderwagen met introductie korting!,"€ 699,00","Aanbieding!! Nu de mutsy nio north black kinderwagen met introductie korting! Tijdelijk met gratis voetenzak twv 89,- uit voorraad",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1416774525-mutsy-nio-north-black-kinderwagen-met-introductie-korting,Eergisteren,Nieuw,Mutsy,Nio North Black,Eergisteren
Kinderwagen 3 in 1,"€ 100,00",Cabino,No link,Gisteren,Zo goed als nieuw,Cabino,Kinderwagen 3 in 1,Gisteren
Joolz GEO kinderwagen,"€ 100,00","Joolz geo kinderwagen, is gebruikt maar zou nog een ronde mee kunnen.",No link,Gisteren,Gebruikt,Joolz,GEO,Gisteren
Hardloop Kinderwagen,"€ 50,00","In goede staat, gemakkelijk te gebruiken en zeer robuust.",No link,Vandaag,Gebruikt,Unknown,Hardloop Kinderwagen,Vandaag
Mima xari kinderwagen,"€ 90,00",Mima xari kinderwagens 2 stuks voor zowel baby als zittend te gebruiken. Gaat makkelijk in en uit elkaar grijze kinderwagen werkt,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223488768-mima-xari-kinderwagen,Gisteren,Zo goed als nieuw,Mima,xari,Gisteren
Elektrische Kinderauto - Kindermotor - Kinderquad - Buggy,"€ 199,00","Goedkoopste van nederland! Zoek je de leukste elektrische kinderauto, kindermotor, kinderquad, buggy en kart ? Wij hebben het alle",https://www.marktplaats.nl/v/kinderen-en-baby-s/speelgoed-buiten-accuvoertuigen/a1506284739-elektrische-kinderauto-kindermotor-kinderquad-buggy,Gisteren,Nieuw,Unknown,Unknown,Gisteren
